Sample,species,pair,age,herbivores,wet.g,wet.mg,dry.mg,abs1,abs2,abs3,abs4,abs5,absAVG,ug,ug.mg,avg.ug.mg,mg.mg,,,,,,,,
cycad1,ficus-indica,cycad,N,,,82.3,6.755529578,0.275,0.284,,,,0.2795,1858.544286,275.1145213,,#REF!,,,,,,,,
cycad2,ficus-indica,cycad,N,,,82,6.613542966,0.305,0.308,,,,0.3065,2072.808571,313.4187805,,#REF!,,,,,,,,
cycad3,ficus-indica,cycad,N,,,73.6,5.680138365,0.348,0.36,,,,0.354,2449.755,431.2843883,339.93923,#REF!,,,,,,,,
BN01-1,engelmannii,B01,N,no,0.0697,69.7,12.36959878,0.47,0.47,0.462,0.462,,0.466,3338.555,269.9000234,,#REF!,,,,,,,,
BN01-2,engelmannii,B01,N,no,0.0645,64.5,11.44675927,0.325,0.325,0.332,0.332,,0.3285,2247.394286,196.3345461,,#REF!,,,,,,,,
BN01-3,engelmannii,B01,N,no,0.034,34,6.033950624,0.258,0.258,0.254,0.253,,0.25575,1670.071071,276.7790417,247.6712037,#REF!,,,,,,,,
BM01-1,engelmannii,B01,N,melitara,0.0364,36.4,7.215859014,0.288,0.288,0.286,0.285,,0.28675,1916.078214,265.5370914,,#REF!,,,,,,,,
BM01-2,engelmannii,B01,N,melitara,0.0492,49.2,9.753303942,0.332,0.332,0.323,0.323,,0.3275,2239.458571,229.6102515,,#REF!,,,,,,,,
BM01-3,engelmannii,B01,N,melitara,0.0591,59.1,11.715859,0.372,0.372,0.373,0.373,,0.3725,2596.565714,221.628283,238.9252086,#REF!,,,,,,,,
BN02-1,engelmannii,B02,N,no,0.0449,44.9,5.707199084,0.276,0.275,0.271,0.271,,0.27325,1808.946071,316.958642,,#REF!,,,,,,,,
BN02-2,engelmannii,B02,N,no,0.0605,60.5,7.690101216,0.327,0.327,0.323,0.323,,0.325,2219.619286,288.6332993,,#REF!,,,,,,,,
BN02-3,engelmannii,B02,N,no,0.0442,44.2,5.618222706,0.286,0.286,0.286,0.286,,0.286,1910.126429,339.9876666,315.1932027,#REF!,,,,,,,,
BM02-1,engelmannii,B02,N,melitara,0.0686,68.6,11.01401791,0.368,0.368,0.376,0.376,,0.372,2592.597857,235.3907427,,#REF!,,,,,,,,
BM02-2,engelmannii,B02,N,melitara,0.0857,85.7,13.75949468,0.409,0.408,0.414,0.413,,0.411,2902.090714,210.915501,,#REF!,,,,,,,,
BM02-3,engelmannii,B02,N,melitara,0.0455,45.5,7.305215964,0.379,0.378,0.39,0.389,,0.384,2687.826429,367.9325077,271.4129171,#REF!,,,,,,,,
BN03-1,engelmannii,B03,N,no,0.042,42,5.776283604,0.369,0.37,0.393,0.392,,0.381,2664.019286,461.1995304,,#REF!,,,,,,,,
BN03-2,engelmannii,B03,N,no,0.0688,68.8,9.462102666,0.4,0.4,0.39,0.39,,0.395,2775.119286,293.2878012,,#REF!,,,,,,,,
BN03-3,engelmannii,B03,N,no,0.0677,67.7,9.310819047,0.405,0.405,0.403,0.403,,0.404,2846.540714,305.7239862,353.4037726,#REF!,,,,,,,,
BM03-1,engelmannii,B03,N,melitara,0.0796,79.6,7.745369266,0.367,0.367,0.377,0.376,,0.37175,2590.613929,334.4726171,,#REF!,,,,,,,,
