Sample,species,pair,age,herbivore,location,wet.g,dry.g,fiber.g,concentration,,tissue.content,,notes ,,,,,,,
cycad1,ficus-indica,cycad,N,,BFL,1.200,0.099,0.023,0.234,,0.082084199,,,,,,,,,
cycad2,ficus-indica,cycad,N,,BFL,1.02,0.082,0.020,0.243,,0.080652963,,,5/5/19,25 h at 60C,0.040652963,0.959347037,,,
cycad3,ficus-indica,cycad,N,,BFL,1.11,0.086,0.021,0.245,,0.077175793,,,5/5/19,26 h at 60C,0.037175793,0.962824207,,,
oe4,englemannii,oe,N,,BFL,,,,,,0.046135076,,5.861,5/9/19,27 h at 60C,0.046135076,0.953864924,,,
oe5,englemannii,oe,N,,BFL,,,,,,0.044252089,,5.189,5/9/19,28 h at 60C,0.044252089,0.955747911,,,
oe6,englemannii,oe,N,,BFL,,,,,,0.045855646,,3.939,5/9/19,29 h at 60C,0.045855646,0.954144354,,,
BN01,englemannii,B01,N,no melitara,Bauerle,1.010,0.179,0.037,0.206,,0.177469136,,,,,,,,,
BM01,englemannii,B01,N,melitara,Bauerle,1.050,0.208,0.024,0.115,,0.198237885,,,,,,,,,
BN02,englemannii,B02,N,no melitara,Bauerle,0.990,0.126,0.021,0.167,,0.127109111,,,,,,,,,
BM02,englemannii,B02,N,melitara,Bauerle,1.040,0.167,0.043,0.255,,0.160554197,,,,,,,,,
BN03,englemannii,B03,N,no melitara,Bauerle,1.030,0.142,0.055,0.385,,0.137530562,,,,,,,,,
BM03,englemannii,B03,N,melitara,Bauerle,1.030,0.100,0.050,0.502,,0.097303634,,,,,,,,,
BN04,englemannii,B04,N,no melitara,Bauerle,1.040,0.126,0.048,0.383,,0.12099872,,,,,,,,,
BM04,englemannii,B04,N,melitara,Bauerle,1.050,0.113,0.042,0.372,,0.107913669,,,,,,,,,
BN05,englemannii,B05,N,no melitara,Bauerle,1.050,0.210,0.053,0.250,,0.2,,,,,,,,,
BM05,englemannii,B05,N,melitara,Bauerle,1.070,0.163,0.133,0.815,,0.152300713,,,,,,,,,
BN06,englemannii,B06,N,no melitara,Bauerle,1.030,0.134,0.049,0.363,,0.129888268,,,,,,,,,
BM06,englemannii,B06,N,melitara,Bauerle,1.020,0.170,0.024,0.139,,0.166979362,,,,,,,,,
BN07,englemannii,B07,N,no melitara,Bauerle,1.020,0.178,0.104,0.583,,0.174127466,,,,,,,,,
BM07,englemannii,B07,N,melitara,Bauerle,1.030,0.117,0.047,0.399,,0.11351755,,,,,,,,,
BN08,englemannii,B08,N,no melitara,Bauerle,1.030,0.130,0.229,1.756,,0.126630852,,,,,,,,,
BM08,englemannii,B08,N,melitara,Bauerle,1.020,0.154,0.063,0.409,,0.15098242,,,,,,,,,
BN09,englemannii,B09,N,no melitara,Bauerle,1.020,0.143,0.041,0.283,,0.140550807,,,,,,,,,
